ts_ms,open,high,low,close,volume
1720224000000,56634.53,58481.97,56020.32,58244.75,6449.32501293
1720310400000,58240.36,58448.89,55717.23,55854.09,5320.91645368
1720396800000,55852.61,58200.0,54278.93,56699.43,19043.04861272
1720483200000,56701.18,58295.31,56276.37,58047.86,11757.76025902
1720569600000,58047.86,59481.93,57157.28,57712.59,11619.63229345
1720656000000,57713.4,59533.06,57036.41,57340.77,11433.53379518
1720742400000,57343.66,58550.0,56538.33,57909.03,10516.60400149
1720828800000,57908.61,59875.0,57770.92,59224.58,4255.10545721
1720915200000,59224.58,61428.67,59209.2,60808.42,6132.37403058
1721001600000,60804.97,64943.61,60666.59,64757.16,20601.73387957
1721088000000,64757.16,65405.89,62410.33,65088.99,14691.92002303
1721174400000,65086.55,66139.0,63853.99,64085.81,10647.79709095
1721260800000,64085.82,65130.88,63222.6,63982.86,7637.52760383
1721347200000,63977.64,67504.22,63289.15,66707.61,15163.05745737
1721433600000,66707.61,67635.0,66271.0,67163.83,4671.38885135
1721520000000,67163.82,68380.0,65820.18,68181.28,6027.86201344
1721606400000,68181.16,68495.0,66569.42,67558.22,11844.79119584
1721692800000,67560.03,67786.84,65444.3,65939.24,10791.03782177
1721779200000,65939.24,67131.17,65090.61,65366.4,7702.25551129
1721865600000,65358.86,66161.98,63412.46,65795.42,10452.25571747
1721952000000,65795.52,68216.66,65705.6,67924.08,9315.20918753
1722038400000,67921.46,69418.15,66635.28,67899.41,10233.62198513
1722124800000,67901.81,68308.82,67021.8,68244.3,3505.5483691
1722211200000,68244.3,70000.0,66400.01,66771.45,13641.48475825
1722297600000,66767.14,66994.15,65283.68,66169.68,8733.57157991
1722384000000,66169.68,66837.4,64500.0,64609.62,8986.37529253
1722470400000,64609.61,65593.56,62212.81,65288.18,15636.72205775
1722556800000,65293.48,65557.86,61150.0,61418.06,15390.00963957
1722643200000,61418.06,62171.58,59819.13,60674.93,8019.39450918
1722729600000,60674.93,61082.3,57123.0,58130.95,10319.01091658
1722816000000,58131.31,58282.83,49050.01,54029.12,59125.78926672
1722902400000,54037.9,57091.16,53965.57,56048.08,16897.67519536
1722988800000,56048.07,57757.15,54564.15,55148.1,13971.5151871
1723075200000,55144.14,62755.24,54737.32,61705.58,20623.04985861
1723161600000,61704.05,61764.38,59552.46,60862.13,11569.80744379
1723248000000,60864.71,61500.0,60255.61,60935.02,3157.63609699
1723334400000,60935.01,61868.69,58312.63,58722.49,5229.37008498
1723420800000,58717.44,60721.77,57653.31,59358.78,12183.92944247
1723507200000,59358.78,61615.43,58402.01,60603.19,10879.76363828
1723593600000,60603.19,61827.2,58453.56,58690.62,12938.61473824
1723680000000,58690.62,59883.49,56120.0,57543.61,14506.63316989
1723766400000,57543.57,59871.61,57096.56,58888.99,11930.21788221
1723852800000,58888.99,59711.02,58803.45,59497.49,2787.56355634
1723939200000,59497.49,60284.99,58422.0,58437.9,4325.64817169
1724025600000,58436.2,59639.81,57820.0,59452.67,8539.29378706
1724112000000,59455.81,61457.03,58571.96,59017.59,11062.05279919
